Student Group,Reading 4 Score Pct,Reading 8 Score Pct,Math 4 Score Pct,Math 8 Score Pct,Reading 12 Score Pct,Math 12 Score Pct
All,0.01,-0.001,0.024,0.016,-0.005,0.002
FR Eligible Only,0.029,0.012,0.033,0.028,-0.006,0.028
