Student Group,Reading 4 Score Diff,Reading 8 Score Diff,Math 4 Score Diff,Math 8 Score Diff,Reading 12 Score Diff,Math 12 Score Diff
All,2,-0,6,4,-1,0
FR Eligible Only,6,3,7,7,-2,4
