Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,National,Eligible,259.5209
2022,National,Not eligible,287.2111
2022,National,Information not available,285.4920
2022,Alabama,Eligible,248.2785
2022,Alabama,Not eligible,276.9545
2022,Alabama,Information not available,à
2022,Alaska,Eligible,254.3128
2022,Alaska,Not eligible,281.6661
2022,Alaska,Information not available,à
2022,Arizona,Eligible,257.3425
2022,Arizona,Not eligible,282.4343
2022,Arizona,Information not available,à
2022,Arkansas,Eligible,258.6670
2022,Arkansas,Not eligible,281.2924
2022,Arkansas,Information not available,à
2022,California,Eligible,255.7405
2022,California,Not eligible,291.5326
2022,California,Information not available,263.8072
2022,Colorado,Eligible,254.2488
2022,Colorado,Not eligible,287.0239
2022,Colorado,Information not available,à
2022,Connecticut,Eligible,255.8014
2022,Connecticut,Not eligible,290.3277
2022,Connecticut,Information not available,à
2022,Delaware,Eligible,245.2893
2022,Delaware,Not eligible,269.9047
2022,Delaware,Information not available,à
2022,District of Columbia,Eligible,250.1525
2022,District of Columbia,Not eligible,296.1946
2022,District of Columbia,Information not available,à
2022,DoDEA,Eligible,à
2022,DoDEA,Not eligible,à
2022,DoDEA,Information not available,à
2022,Florida,Eligible,261.4096
2022,Florida,Not eligible,283.8986
2022,Florida,Information not available,à
2022,Georgia,Eligible,259.9189
2022,Georgia,Not eligible,285.4559
2022,Georgia,Information not available,à
2022,Hawaii,Eligible,258.6417
2022,Hawaii,Not eligible,279.3794
2022,Hawaii,Information not available,à
2022,Idaho,Eligible,268.6007
2022,Idaho,Not eligible,290.7013
2022,Idaho,Information not available,285.7690
2022,Illinois,Eligible,259.1220
2022,Illinois,Not eligible,289.4470
2022,Illinois,Information not available,266.5506
2022,Indiana,Eligible,265.3378
2022,Indiana,Not eligible,290.8956
2022,Indiana,Information not available,à
2022,Iowa,Eligible,257.9748
2022,Iowa,Not eligible,288.0503
2022,Iowa,Information not available,à
2022,Kansas,Eligible,257.1493
2022,Kansas,Not eligible,284.2408
2022,Kansas,Information not available,à
2022,Kentucky,Eligible,258.9618
2022,Kentucky,Not eligible,283.1484
2022,Kentucky,Information not available,à
2022,Louisiana,Eligible,257.2014
2022,Louisiana,Not eligible,285.0812
2022,Louisiana,Information not available,à
2022,Maine,Eligible,258.6376
2022,Maine,Not eligible,281.0964
2022,Maine,Information not available,à
2022,Maryland,Eligible,249.7322
2022,Maryland,Not eligible,281.7213
2022,Maryland,Information not available,à
2022,Massachusetts,Eligible,263.3892
2022,Massachusetts,Not eligible,297.9350
2022,Massachusetts,Information not available,à
2022,Michigan,Eligible,258.5261
2022,Michigan,Not eligible,285.5259
2022,Michigan,Information not available,à
2022,Minnesota,Eligible,258.3449
2022,Minnesota,Not eligible,289.1354
2022,Minnesota,Information not available,à
2022,Mississippi,Eligible,259.7690
2022,Mississippi,Not eligible,285.7627
2022,Mississippi,Information not available,à
2022,Missouri,Eligible,256.4590
2022,Missouri,Not eligible,283.1028
2022,Missouri,Information not available,à
2022,Montana,Eligible,264.7099
2022,Montana,Not eligible,286.2197
2022,Montana,Information not available,à
2022,Nebraska,Eligible,263.5923
2022,Nebraska,Not eligible,289.6454
2022,Nebraska,Information not available,à
2022,Nevada,Eligible,265.3319
2022,Nevada,Not eligible,283.1042
2022,Nevada,Information not available,à
2022,New Hampshire,Eligible,261.6897
2022,New Hampshire,Not eligible,284.2576
2022,New Hampshire,Information not available,280.3830
2022,New Jersey,Eligible,258.9714
2022,New Jersey,Not eligible,291.7842
2022,New Jersey,Information not available,à
2022,New Mexico,Eligible,253.8172
2022,New Mexico,Not eligible,275.4735
2022,New Mexico,Information not available,à
2022,New York,Eligible,261.8730
2022,New York,Not eligible,290.3835
2022,New York,Information not available,291.3815
2022,North Carolina,Eligible,258.9856
2022,North Carolina,Not eligible,281.7860
2022,North Carolina,Information not available,à
2022,North Dakota,Eligible,263.0817
2022,North Dakota,Not eligible,283.9664
2022,North Dakota,Information not available,à
2022,Ohio,Eligible,259.3681
2022,Ohio,Not eligible,291.2723
2022,Ohio,Information not available,276.2367
2022,Oklahoma,Eligible,256.1003
2022,Oklahoma,Not eligible,274.4617
2022,Oklahoma,Information not available,à
2022,Oregon,Eligible,270.2182
2022,Oregon,Not eligible,à
2022,Oregon,Information not available,à
2022,Pennsylvania,Eligible,258.5289
2022,Pennsylvania,Not eligible,286.9940
2022,Pennsylvania,Information not available,à
2022,Puerto Rico,Eligible,213.3195
2022,Puerto Rico,Not eligible,227.1511
2022,Puerto Rico,Information not available,à
2022,Rhode Island,Eligible,254.3115
2022,Rhode Island,Not eligible,283.2758
2022,Rhode Island,Information not available,à
2022,South Carolina,Eligible,257.3574
2022,South Carolina,Not eligible,286.5354
2022,South Carolina,Information not available,à
2022,South Dakota,Eligible,262.2972
2022,South Dakota,Not eligible,287.8173
2022,South Dakota,Information not available,à
2022,Tennessee,Eligible,251.5425
2022,Tennessee,Not eligible,279.4584
2022,Tennessee,Information not available,à
2022,Texas,Eligible,263.5218
2022,Texas,Not eligible,286.7584
2022,Texas,Information not available,à
2022,Utah,Eligible,265.5807
2022,Utah,Not eligible,288.9321
2022,Utah,Information not available,à
2022,Vermont,Eligible,261.7927
2022,Vermont,Not eligible,285.1403
