State,Year,NAEP,US NAEP
United States,2022,217.4945,217.4945
Alabama,2022,213.3048,217.4945
Alaska,2022,203.8344,217.4945
Arizona,2022,215.4789,217.4945
Arkansas,2022,211.9524,217.4945
California,2022,214.3881,217.4945
Colorado,2022,222.8539,217.4945
Connecticut,2022,219.148,217.4945
Delaware,2022,208.3016,217.4945
District of Columbia,2022,206.7531,217.4945
DoDEA,2022,235.1155,217.4945
Florida,2022,224.7395,217.4945
Georgia,2022,215.8823,217.4945
Hawaii,2022,218.8151,217.4945
Idaho,2022,214.8852,217.4945
Illinois,2022,217.7776,217.4945
Indiana,2022,217.3635,217.4945
Iowa,2022,218.0198,217.4945
Kansas,2022,214.6824,217.4945
Kentucky,2022,216.5977,217.4945
Louisiana,2022,212.3357,217.4945
Maine,2022,212.8131,217.4945
Maryland,2022,212.4801,217.4945
Massachusetts,2022,226.8036,217.4945
Michigan,2022,211.8415,217.4945
Minnesota,2022,215.4684,217.4945
Mississippi,2022,217.1605,217.4945
Missouri,2022,213.3552,217.4945
Montana,2022,218.7261,217.4945
Nebraska,2022,218.6137,217.4945
Nevada,2022,211.5251,217.4945
New Hampshire,2022,222.5373,217.4945
New Jersey,2022,222.7283,217.4945
New Mexico,2022,202.081,217.4945
New York,2022,213.5726,217.4945
North Carolina,2022,216.1301,217.4945
North Dakota,2022,217.5346,217.4945
Ohio,2022,218.5617,217.4945
Oklahoma,2022,208.1083,217.4945
Oregon,2022,210.3141,217.4945
Pennsylvania,2022,218.8945,217.4945
Rhode Island,2022,217.2612,217.4945
South Carolina,2022,216.3888,217.4945
South Dakota,2022,218.0674,217.4945
Tennessee,2022,214.0008,217.4945
Texas,2022,214.1982,217.4945
Utah,2022,221.0859,217.4945
Vermont,2022,216.9829,217.4945
Virginia,2022,214.0356,217.4945
Washington,2022,216.6907,217.4945
West Virginia,2022,205.3105,217.4945
Wisconsin,2022,217.3736,217.4945
Wyoming,2022,224.7936,217.4945
United States,2019,220.4741,220.4741
Alabama,2019,211.7285,220.4741
Alaska,2019,204.3736,220.4741
Arizona,2019,215.8412,220.4741
Arkansas,2019,215.0542,220.4741
California,2019,216.4813,220.4741
Colorado,2019,224.8624,220.4741
Connecticut,2019,224.3498,220.4741
