State,Year,NAEP,US NAEP
South Carolina,2017,234.044,239.7222
South Dakota,2017,241.5889,239.7222
Tennessee,2017,236.6925,239.7222
Texas,2017,240.9437,239.7222
Utah,2017,242.4808,239.7222
Vermont,2017,240.8933,239.7222
Virginia,2017,248.0411,239.7222
Washington,2017,241.701,239.7222
West Virginia,2017,236.057,239.7222
Wisconsin,2017,240.3892,239.7222
Wyoming,2017,247.8206,239.7222
United States,2015,240.3893,240.3893
Alabama,2015,230.9774,240.3893
Alaska,2015,236.3284,240.3893
Arizona,2015,237.6118,240.3893
Arkansas,2015,235.2155,240.3893
California,2015,231.5493,240.3893
Colorado,2015,241.5636,240.3893
Connecticut,2015,240.1595,240.3893
Delaware,2015,238.678,240.3893
District of Columbia,2015,231.3075,240.3893
DoDEA,2015,247.5751,240.3893
Florida,2015,242.6643,240.3893
Georgia,2015,236.4525,240.3893
Hawaii,2015,237.8958,240.3893
Idaho,2015,238.7996,240.3893
Illinois,2015,237.3078,240.3893
Indiana,2015,247.6522,240.3893
Iowa,2015,243.3399,240.3893
Kansas,2015,241.0672,240.3893
Kentucky,2015,241.7278,240.3893
Louisiana,2015,234.2819,240.3893
Maine,2015,242.2447,240.3893
Maryland,2015,239.4998,240.3893
Massachusetts,2015,250.5658,240.3893
Michigan,2015,235.7289,240.3893
Minnesota,2015,249.5758,240.3893
Mississippi,2015,234.2431,240.3893
Missouri,2015,238.9649,240.3893
Montana,2015,241.287,240.3893
Nebraska,2015,243.8637,240.3893
Nevada,2015,233.827,240.3893
New Hampshire,2015,249.1506,240.3893
New Jersey,2015,245.3832,240.3893
New Mexico,2015,231.1672,240.3893
New York,2015,236.7969,240.3893
North Carolina,2015,243.7423,240.3893
North Dakota,2015,244.7138,240.3893
Ohio,2015,243.5986,240.3893
Oklahoma,2015,239.7605,240.3893
Oregon,2015,237.7467,240.3893
Pennsylvania,2015,243.3122,240.3893
Puerto Rico,2015,182.5972,240.3893
Rhode Island,2015,238.0017,240.3893
South Carolina,2015,237.0896,240.3893
South Dakota,2015,239.7231,240.3893
Tennessee,2015,240.6674,240.3893
Texas,2015,244.0025,240.3893
Utah,2015,242.5628,240.3893
Vermont,2015,243.2504,240.3893
Virginia,2015,246.6126,240.3893
Washington,2015,244.9814,240.3893
West Virginia,2015,235.2047,240.3893
Wisconsin,2015,243.3102,240.3893
Wyoming,2015,246.7598,240.3893
United States,2013,241.5508,241.5508
Alabama,2013,232.8613,241.5508
Alaska,2013,236.122,241.5508
Arizona,2013,240.3049,241.5508
Arkansas,2013,239.8905,241.5508
California,2013,233.6545,241.5508
Colorado,2013,246.9757,241.5508
Connecticut,2013,243.4403,241.5508
Delaware,2013,243.1078,241.5508
District of Columbia,2013,228.5673,241.5508
DoDEA,2013,245.011,241.5508
Florida,2013,241.6758,241.5508
Georgia,2013,240.0472,241.5508
Hawaii,2013,243.3086,241.5508
Idaho,2013,240.722,241.5508
Illinois,2013,239.0002,241.5508
Indiana,2013,248.5968,241.5508
Iowa,2013,245.7935,241.5508
Kansas,2013,246.1857,241.5508
Kentucky,2013,241.4699,241.5508
Louisiana,2013,231.3663,241.5508
Maine,2013,245.847,241.5508
Maryland,2013,245.1694,241.5508
Massachusetts,2013,253.0338,241.5508
Michigan,2013,236.8198,241.5508
Minnesota,2013,253.421,241.5508
Mississippi,2013,231.1057,241.5508
