State,Year,NAEP,US NAEP
United States,2022,274.2662,274.2662
Alabama,2022,264.3573,274.2662
Alaska,2022,269.9208,274.2662
Arizona,2022,270.7037,274.2662
Arkansas,2022,266.8828,274.2662
California,2022,269.8083,274.2662
Colorado,2022,275.111,274.2662
Connecticut,2022,276.4875,274.2662
Delaware,2022,264.2471,274.2662
District of Columbia,2022,259.5263,274.2662
DoDEA,2022,291.6167,274.2662
Florida,2022,271.2044,274.2662
Georgia,2022,271.2845,274.2662
Hawaii,2022,270.1041,274.2662
Idaho,2022,281.7725,274.2662
Illinois,2022,275.1951,274.2662
Indiana,2022,278.6464,274.2662
Iowa,2022,277.1311,274.2662
Kansas,2022,271.9622,274.2662
Kentucky,2022,269.4126,274.2662
Louisiana,2022,265.5974,274.2662
Maine,2022,272.5393,274.2662
Maryland,2022,268.7044,274.2662
Massachusetts,2022,283.5877,274.2662
Michigan,2022,272.5507,274.2662
Minnesota,2022,280.066,274.2662
Mississippi,2022,265.5666,274.2662
Missouri,2022,272.1533,274.2662
Montana,2022,277.4276,274.2662
Nebraska,2022,279.3841,274.2662
Nevada,2022,269.2181,274.2662
New Hampshire,2022,278.582,274.2662
New Jersey,2022,280.8861,274.2662
New Mexico,2022,258.9835,274.2662
New York,2022,274.2715,274.2662
North Carolina,2022,273.7014,274.2662
North Dakota,2022,278.3983,274.2662
Ohio,2022,276.0571,274.2662
Oklahoma,2022,263.8997,274.2662
Oregon,2022,270.2777,274.2662
Pennsylvania,2022,274.2741,274.2662
Puerto Rico,2022,215.6772,274.2662
Rhode Island,2022,270.2986,274.2662
South Carolina,2022,269.021,274.2662
South Dakota,2022,281.4375,274.2662
Tennessee,2022,271.9757,274.2662
Texas,2022,272.6689,274.2662
Utah,2022,282.211,274.2662
Vermont,2022,276.4639,274.2662
Virginia,2022,279.1716,274.2662
Washington,2022,276.0803,274.2662
West Virginia,2022,260.3875,274.2662
Wisconsin,2022,281.1396,274.2662
Wyoming,2022,280.9265,274.2662
United States,2019,282.0019,282.0019
Alabama,2019,268.7039,282.0019
Alaska,2019,274.3378,282.0019
Arizona,2019,279.932,282.0019
Arkansas,2019,274.3632,282.0019
California,2019,275.6089,282.0019
Colorado,2019,284.666,282.0019
Connecticut,2019,286.1589,282.0019
Delaware,2019,276.7027,282.0019
District of Columbia,2019,269.1774,282.0019
DoDEA,2019,292.1283,282.0019
Florida,2019,278.5233,282.0019
Georgia,2019,279.4947,282.0019
Hawaii,2019,275.3333,282.0019
Idaho,2019,285.9421,282.0019
Illinois,2019,282.5638,282.0019
Indiana,2019,285.6493,282.0019
Iowa,2019,281.6697,282.0019
Kansas,2019,282.2117,282.0019
Kentucky,2019,278.1004,282.0019
Louisiana,2019,271.6447,282.0019
Maine,2019,282.3686,282.0019
Maryland,2019,280.1458,282.0019
Massachusetts,2019,294.4746,282.0019
Michigan,2019,280.2824,282.0019
Minnesota,2019,290.7851,282.0019
Mississippi,2019,273.7289,282.0019
Missouri,2019,280.764,282.0019
Montana,2019,283.9595,282.0019
Nebraska,2019,285.0125,282.0019
Nevada,2019,273.7854,282.0019
New Hampshire,2019,287.2229,282.0019
New Jersey,2019,291.8228,282.0019
New Mexico,2019,268.7656,282.0019
New York,2019,280.4091,282.0019
North Carolina,2019,283.6589,282.0019
North Dakota,2019,285.5643,282.0019
Ohio,2019,285.7132,282.0019
Oklahoma,2019,276.4662,282.0019
Oregon,2019,279.5004,282.0019
Pennsylvania,2019,285.024,282.0019
Puerto Rico,2019,221.5916,282.0019
Rhode Island,2019,275.6721,282.0019
South Carolina,2019,276.35,282.0019
South Dakota,2019,287.0879,282.0019
Tennessee,2019,280.079,282.0019
Texas,2019,279.6511,282.0019
Utah,2019,284.9304,282.0019
Vermont,2019,286.6034,282.0019
Virginia,2019,287.0602,282.0019
Washington,2019,285.8071,282.0019
West Virginia,2019,272.3493,282.0019
Wisconsin,2019,288.66,282.0019
Wyoming,2019,286.314,282.0019
United States,2017,282.8427,282.8427
Alabama,2017,268.312,282.8427
Alaska,2017,277.0156,282.8427
Arizona,2017,282.2481,282.8427
Arkansas,2017,273.7599,282.8427
California,2017,276.6382,282.8427
Colorado,2017,286.2477,282.8427
Connecticut,2017,284.1443,282.8427
Delaware,2017,278.0235,282.8427
District of Columbia,2017,265.7798,282.8427
DoDEA,2017,292.8416,282.8427
Florida,2017,279.1204,282.8427
Georgia,2017,281.0355,282.8427
Hawaii,2017,277.3368,282.8427
Idaho,2017,284.3717,282.8427
Illinois,2017,281.618,282.8427
Indiana,2017,287.7056,282.8427
Iowa,2017,286.2394,282.8427
Kansas,2017,285.2835,282.8427
Kentucky,2017,277.7142,282.8427
Louisiana,2017,266.5068,282.8427
Maine,2017,284.003,282.8427
Maryland,2017,280.9102,282.8427
Massachusetts,2017,297.0422,282.8427
Michigan,2017,279.5055,282.8427
Minnesota,2017,293.9624,282.8427
Mississippi,2017,270.9149,282.8427
Missouri,2017,280.596,282.8427
Montana,2017,285.6004,282.8427
Nebraska,2017,288.406,282.8427
Nevada,2017,275.3655,282.8427
New Hampshire,2017,293.2907,282.8427
New Jersey,2017,291.6986,282.8427
New Mexico,2017,269.3741,282.8427
New York,2017,281.688,282.8427
North Carolina,2017,281.926,282.8427
North Dakota,2017,288.1723,282.8427
Ohio,2017,287.7143,282.8427
Oklahoma,2017,274.6889,282.8427
Oregon,2017,282.173,282.8427
Pennsylvania,2017,286.3938,282.8427
Puerto Rico,2017,224.7275,282.8427
Rhode Island,2017,277.1801,282.8427
South Carolina,2017,274.6738,282.8427
South Dakota,2017,286.3762,282.8427
Tennessee,2017,278.7777,282.8427
Texas,2017,282.3205,282.8427
Utah,2017,286.8166,282.8427
Vermont,2017,287.6234,282.8427
Virginia,2017,290.0814,282.8427
Washington,2017,289.1313,282.8427
West Virginia,2017,273.4159,282.8427
Wisconsin,2017,288.1431,282.8427
Wyoming,2017,288.7618,282.8427
United States,2015,282.2219,282.2219
Alabama,2015,266.5553,282.2219
Alaska,2015,280.4935,282.2219
Arizona,2015,282.9195,282.2219
Arkansas,2015,275.0648,282.2219
California,2015,275.3246,282.2219
Colorado,2015,285.5392,282.2219
Connecticut,2015,283.9567,282.2219
Delaware,2015,279.8102,282.2219
District of Columbia,2015,263.0598,282.2219
DoDEA,2015,290.5307,282.2219
Florida,2015,275.3238,282.2219
Georgia,2015,278.7118,282.2219
