Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,National,Eligible,202.7766
2022,National,Not eligible,231.1091
2022,National,Information not available,232.3888
2022,Alabama,Eligible,201.0686
2022,Alabama,Not eligible,225.1879
2022,Alabama,Information not available,à
2022,Alaska,Eligible,188.2891
2022,Alaska,Not eligible,218.0738
2022,Alaska,Information not available,à
2022,Arizona,Eligible,201.0230
2022,Arizona,Not eligible,226.3722
2022,Arizona,Information not available,à
2022,Arkansas,Eligible,199.9565
2022,Arkansas,Not eligible,233.7841
2022,Arkansas,Information not available,à
2022,California,Eligible,201.3666
2022,California,Not eligible,235.1201
2022,California,Information not available,218.8706
2022,Colorado,Eligible,203.2085
2022,Colorado,Not eligible,235.6411
2022,Colorado,Information not available,à
2022,Connecticut,Eligible,200.5338
2022,Connecticut,Not eligible,230.9144
2022,Connecticut,Information not available,à
2022,Delaware,Eligible,189.1009
2022,Delaware,Not eligible,214.5802
2022,Delaware,Information not available,à
2022,District of Columbia,Eligible,194.1581
2022,District of Columbia,Not eligible,249.9670
2022,District of Columbia,Information not available,à
2022,DoDEA,Eligible,à
2022,DoDEA,Not eligible,à
2022,DoDEA,Information not available,à
2022,Florida,Eligible,215.0705
2022,Florida,Not eligible,238.4522
2022,Florida,Information not available,à
2022,Georgia,Eligible,204.1444
2022,Georgia,Not eligible,232.1150
2022,Georgia,Information not available,à
2022,Hawaii,Eligible,204.3274
2022,Hawaii,Not eligible,230.1591
2022,Hawaii,Information not available,à
2022,Idaho,Eligible,202.8911
2022,Idaho,Not eligible,225.7588
2022,Idaho,Information not available,218.6723
2022,Illinois,Eligible,200.5679
2022,Illinois,Not eligible,230.7484
2022,Illinois,Information not available,à
2022,Indiana,Eligible,207.5414
2022,Indiana,Not eligible,228.0099
2022,Indiana,Information not available,à
2022,Iowa,Eligible,203.5185
2022,Iowa,Not eligible,228.9101
2022,Iowa,Information not available,à
2022,Kansas,Eligible,199.5370
2022,Kansas,Not eligible,227.7615
2022,Kansas,Information not available,à
2022,Kentucky,Eligible,205.8275
2022,Kentucky,Not eligible,232.1854
2022,Kentucky,Information not available,à
2022,Louisiana,Eligible,204.2601
2022,Louisiana,Not eligible,234.2998
2022,Louisiana,Information not available,à
2022,Maine,Eligible,197.4570
2022,Maine,Not eligible,223.4645
2022,Maine,Information not available,à
2022,Maryland,Eligible,195.2846
2022,Maryland,Not eligible,227.7065
2022,Maryland,Information not available,à
2022,Massachusetts,Eligible,208.7687
2022,Massachusetts,Not eligible,241.8358
2022,Massachusetts,Information not available,à
2022,Michigan,Eligible,197.9351
2022,Michigan,Not eligible,230.4335
2022,Michigan,Information not available,à
2022,Minnesota,Eligible,194.3150
2022,Minnesota,Not eligible,226.3002
2022,Minnesota,Information not available,à
2022,Mississippi,Eligible,211.7433
2022,Mississippi,Not eligible,236.3991
2022,Mississippi,Information not available,à
2022,Missouri,Eligible,196.6170
2022,Missouri,Not eligible,226.9034
2022,Missouri,Information not available,à
2022,Montana,Eligible,204.2088
2022,Montana,Not eligible,228.0080
2022,Montana,Information not available,à
2022,Nebraska,Eligible,201.7560
2022,Nebraska,Not eligible,230.7569
2022,Nebraska,Information not available,à
2022,Nevada,Eligible,207.2819
2022,Nevada,Not eligible,228.6293
2022,Nevada,Information not available,à
2022,New Hampshire,Eligible,204.0651
2022,New Hampshire,Not eligible,228.2850
2022,New Hampshire,Information not available,226.9824
2022,New Jersey,Eligible,203.3338
2022,New Jersey,Not eligible,233.7908
2022,New Jersey,Information not available,222.4261
2022,New Mexico,Eligible,195.1136
2022,New Mexico,Not eligible,227.3925
2022,New Mexico,Information not available,à
2022,New York,Eligible,202.3938
2022,New York,Not eligible,230.6855
2022,New York,Information not available,à
2022,North Carolina,Eligible,200.1113
2022,North Carolina,Not eligible,225.4967
2022,North Carolina,Information not available,à
2022,North Dakota,Eligible,200.3024
2022,North Dakota,Not eligible,223.5741
2022,North Dakota,Information not available,à
2022,Ohio,Eligible,201.4596
