State,Year,NAEP,US NAEP
United States,2022,202.7766,202.7766
Alabama,2022,201.0686,202.7766
Alaska,2022,188.2891,202.7766
Arizona,2022,201.0230,202.7766
Arkansas,2022,199.9565,202.7766
California,2022,201.3666,202.7766
Colorado,2022,203.2085,202.7766
Connecticut,2022,200.5338,202.7766
Delaware,2022,189.1009,202.7766
District of Columbia,2022,194.1581,202.7766
DoDEA,2022,à,202.7766
Florida,2022,215.0705,202.7766
Georgia,2022,204.1444,202.7766
Hawaii,2022,204.3274,202.7766
Idaho,2022,202.8911,202.7766
Illinois,2022,200.5679,202.7766
Indiana,2022,207.5414,202.7766
Iowa,2022,203.5185,202.7766
Kansas,2022,199.5370,202.7766
Kentucky,2022,205.8275,202.7766
Louisiana,2022,204.2601,202.7766
Maine,2022,197.4570,202.7766
Maryland,2022,195.2846,202.7766
Massachusetts,2022,208.7687,202.7766
Michigan,2022,197.9351,202.7766
Minnesota,2022,194.3150,202.7766
Mississippi,2022,211.7433,202.7766
Missouri,2022,196.6170,202.7766
Montana,2022,204.2088,202.7766
Nebraska,2022,201.7560,202.7766
Nevada,2022,207.2819,202.7766
New Hampshire,2022,204.0651,202.7766
New Jersey,2022,203.3338,202.7766
New Mexico,2022,195.1136,202.7766
New York,2022,202.3938,202.7766
North Carolina,2022,200.1113,202.7766
North Dakota,2022,200.3024,202.7766
Ohio,2022,201.4596,202.7766
Oklahoma,2022,200.6766,202.7766
Oregon,2022,210.1756,202.7766
Pennsylvania,2022,202.2211,202.7766
Rhode Island,2022,203.3964,202.7766
South Carolina,2022,204.4607,202.7766
South Dakota,2022,197.3868,202.7766
Tennessee,2022,198.4725,202.7766
Texas,2022,202.4720,202.7766
Utah,2022,198.9574,202.7766
Vermont,2022,202.2493,202.7766
Virginia,2022,192.3806,202.7766
Washington,2022,200.5250,202.7766
West Virginia,2022,194.2204,202.7766
Wisconsin,2022,200.7878,202.7766
Wyoming,2022,211.1058,202.7766
United States,2019,207.0110,207.0110
Alabama,2019,198.7963,207.0110
Alaska,2019,188.5845,207.0110
Arizona,2019,202.0566,207.0110
Arkansas,2019,207.1029,207.0110
California,2019,204.8454,207.0110
Colorado,2019,208.3459,207.0110
Connecticut,2019,205.3414,207.0110
Delaware,2019,202.3792,207.0110
District of Columbia,2019,203.4212,207.0110
DoDEA,2019,à,207.0110
Florida,2019,215.8419,207.0110
Georgia,2019,206.6719,207.0110
Hawaii,2019,205.6159,207.0110
Idaho,2019,210.9974,207.0110
Illinois,2019,204.9337,207.0110
Indiana,2019,209.3699,207.0110
Iowa,2019,206.8548,207.0110
Kansas,2019,206.1053,207.0110
Kentucky,2019,211.7861,207.0110
Louisiana,2019,202.1429,207.0110
Maine,2019,209.1422,207.0110
Maryland,2019,204.6180,207.0110
Massachusetts,2019,213.4454,207.0110
Michigan,2019,205.7794,207.0110
Minnesota,2019,204.5168,207.0110
Mississippi,2019,214.5552,207.0110
Missouri,2019,206.7824,207.0110
Montana,2019,207.9212,207.0110
Nebraska,2019,209.1083,207.0110
Nevada,2019,210.7792,207.0110
New Hampshire,2019,208.0151,207.0110
New Jersey,2019,210.1788,207.0110
New Mexico,2019,201.1497,207.0110
New York,2019,206.2638,207.0110
North Carolina,2019,207.9280,207.0110
North Dakota,2019,208.6025,207.0110
Ohio,2019,210.1665,207.0110
Oklahoma,2019,208.2964,207.0110
Oregon,2019,206.6506,207.0110
Pennsylvania,2019,207.1430,207.0110
Rhode Island,2019,205.6884,207.0110
South Carolina,2019,204.0615,207.0110
South Dakota,2019,207.9149,207.0110
Tennessee,2019,202.1597,207.0110
Texas,2019,205.7803,207.0110
Utah,2019,208.0044,207.0110
Vermont,2019,205.6201,207.0110
Virginia,2019,207.5107,207.0110
Washington,2019,206.4817,207.0110
West Virginia,2019,204.0778,207.0110
Wisconsin,2019,203.6373,207.0110
Wyoming,2019,214.6488,207.0110
United States,2017,208.1905,208.1905
Alabama,2017,207.0685,208.1905
Alaska,2017,189.8160,208.1905
Arizona,2017,202.6967,208.1905
Arkansas,2017,208.5554,208.1905
California,2017,202.8301,208.1905
Colorado,2017,208.3743,208.1905
Connecticut,2017,211.1963,208.1905
Delaware,2017,210.4195,208.1905
District of Columbia,2017,203.7575,208.1905
DoDEA,2017,à,208.1905
Florida,2017,219.2771,208.1905
Georgia,2017,208.5881,208.1905
Hawaii,2017,202.7552,208.1905
Idaho,2017,210.8319,208.1905
Illinois,2017,206.2166,208.1905
Indiana,2017,215.0283,208.1905
Iowa,2017,205.7583,208.1905
Kansas,2017,212.0415,208.1905
Kentucky,2017,214.7380,208.1905
Louisiana,2017,203.5163,208.1905
Maine,2017,207.2123,208.1905
Maryland,2017,209.8561,208.1905
Massachusetts,2017,219.3009,208.1905
Michigan,2017,203.4015,208.1905
Minnesota,2017,207.0951,208.1905
Mississippi,2017,208.4695,208.1905
Missouri,2017,210.5577,208.1905
Montana,2017,210.3375,208.1905
Nebraska,2017,209.4392,208.1905
Nevada,2017,205.5408,208.1905
New Hampshire,2017,211.7823,208.1905
New Jersey,2017,214.3500,208.1905
New Mexico,2017,200.3172,208.1905
New York,2017,210.6190,208.1905
North Carolina,2017,211.4277,208.1905
North Dakota,2017,207.8805,208.1905
Ohio,2017,212.6999,208.1905
Oklahoma,2017,209.0921,208.1905
Oregon,2017,207.0846,208.1905
Pennsylvania,2017,209.9082,208.1905
Rhode Island,2017,209.3651,208.1905
South Carolina,2017,202.0212,208.1905
South Dakota,2017,208.2675,208.1905
Tennessee,2017,206.2325,208.1905
Texas,2017,204.8360,208.1905
Utah,2017,209.4562,208.1905
Vermont,2017,211.0526,208.1905
Virginia,2017,212.5526,208.1905
Washington,2017,205.4333,208.1905
West Virginia,2017,214.8109,208.1905
Wisconsin,2017,202.8928,208.1905
Wyoming,2017,215.0094,208.1905
United States,2015,209.2588,209.2588
Alabama,2015,208.2334,209.2588
Alaska,2015,196.9336,209.2588
Arizona,2015,203.0816,209.2588
Arkansas,2015,210.9524,209.2588
California,2015,200.6620,209.2588
Colorado,2015,208.1074,209.2588
Connecticut,2015,208.9955,209.2588
Delaware,2015,210.3461,209.2588
District of Columbia,2015,200.2102,209.2588
DoDEA,2015,à,209.2588
Florida,2015,220.1029,209.2588
Georgia,2015,213.8752,209.2588
Hawaii,2015,202.5491,209.2588
Idaho,2015,210.7146,209.2588
Illinois,2015,208.4432,209.2588
Indiana,2015,217.2960,209.2588
Iowa,2015,209.9799,209.2588
Kansas,2015,207.7392,209.2588
Kentucky,2015,219.1405,209.2588
Louisiana,2015,209.3079,209.2588
Maine,2015,213.6462,209.2588
Maryland,2015,207.0474,209.2588
Massachusetts,2015,219.6593,209.2588
Michigan,2015,203.9730,209.2588
Minnesota,2015,204.8317,209.2588
Mississippi,2015,207.1868,209.2588
Missouri,2015,211.4618,209.2588
Montana,2015,212.7077,209.2588
Nebraska,2015,212.5761,209.2588
Nevada,2015,205.1421,209.2588
New Hampshire,2015,216.2600,209.2588
New Jersey,2015,212.9495,209.2588
New Mexico,2015,201.1311,209.2588
New York,2015,210.6419,209.2588
North Carolina,2015,215.3453,209.2588
North Dakota,2015,211.6676,209.2588
Ohio,2015,211.9962,209.2588
Oklahoma,2015,214.2015,209.2588
Oregon,2015,210.2183,209.2588
Pennsylvania,2015,210.6776,209.2588
Rhode Island,2015,211.0994,209.2588
South Carolina,2015,206.1908,209.2588
South Dakota,2015,204.6922,209.2588
Tennessee,2015,207.3590,209.2588
Texas,2015,208.3565,209.2588
Utah,2015,212.7201,209.2588
