Year,State,All staff,Teachers,Teachers as a %
2016,Arizona,103174.56,47943.56,46.46839298
2016,Arkansas,73658.2,35803.87,48.6081251
2016,California,577836.07,263474.93,45.59682991
2016,Colorado,111939.21,51798.13,46.2734461
2016,Connecticut,98165.89,43772.31,44.59014226
2016,Delaware,17097.49,8961.71,52.41535453
2016,District of Columbia,14105.93,6789.09,48.12933284
2016,Florida,345644.58,182586.27,52.82486131
2016,Georgia,224487.7,113031,50.35064282
2016,Hawaii,22596.2999,11746.8999,51.98594439
2016,Idaho,27186.26,15656.42,57.58945879
2016,Illinois,260462.78,129948.23,49.89128581
2016,Indiana,143416.82,57674.85,40.2148437
2016,Iowa,72886.63,35687.49,48.96301283
2016,Kansas,73271.51,40035.33,54.63969557
2016,Kentucky,97711.8,41902.11,42.88336721
2016,Louisiana,107599.88,58469.25,54.33951227
2016,Maine,35241.1,14857,42.15816192
2016,Maryland,115516.58,59414.16,51.43344791
2016,Massachusetts,128290.77,71969.18,56.09848627
2016,Michigan,181467.71,84181.03,46.38898568
2016,Minnesota,117236.4,55985.23,47.75413609
2016,Mississippi,67757.05,32175.03,47.48587785
2016,Missouri,128938.14,67635.28,52.4556039
2016,Montana,21329.5003,10412.3603,48.81670997
2016,Nebraska,47291.814,23308.304,49.28612804
2016,Nevada,26429.51,22702.01,85.89644681
2016,New Hampshire,31980.4,14769.7,46.18359995
2016,New Jersey,236558.29,114968.49,48.60049081
2016,New Mexico,37572.54,21721.65,57.81256737
2016,New York,372692.48,206086.08,55.29654905
2016,North Carolina,190855.03,99354.57,52.05761148
2016,North Dakota,17983.32,9194.74,51.12926868
2016,Ohio,322611.18,101741.94,31.53701617
2016,Oklahoma,85914.53,42452.42,49.41238694
2016,Oregon,65927.71,29086.1,44.11817125
2016,Pennsylvania,241547.6,120892.61,50.04918699
2016,Rhode Island,19482.81,10631.38,54.56800123
2016,South Carolina,78107.8,50236.8,64.31726409
2016,South Dakota,19543.17,9638.25,49.31774119
2016,Tennessee,128468.5,66488,51.7543211
2016,Texas,690077.34,347328.59,50.33183527
2016,Utah,56146,28347.7,50.48926014
2016,Vermont,18183.12,8338.37,45.85775158
2016,Virginia,178550.5,90255.26,50.54886993
2016,Washington,94882.75,57942.31,61.06727514
2016,West Virginia,38452.22,19664.32,51.13962211
2016,Wisconsin,101249.55,58184.6,57.46652701
2016,Wyoming,17268.51,7653.43,44.32015269
2017,United States,6484722.96,3169498.96,48.87639733
2017,Alabama,87251.13,42532.95,48.74773542
2017,Alaska,17230.72,7824.91,45.41255386
2017,Arizona,104170.28,48220.08,46.2896711
2017,Arkansas,73599.33,35730.3,48.5470452
2017,California,599786.02,271287.08,45.23064409
2017,Colorado,111292.87,52014.13,46.73626442
2017,Connecticut,96046.94,42343.2,44.08594381
2017,Delaware,17142.21,9208.2,53.7165278
2017,District of Columbia,13401.86,6726.99,50.19445062
2017,Florida,351531.17,186339.1,53.00784565
2017,Georgia,228522.5,114762.5,50.21934383
2017,Hawaii,22598.41,11781.66,52.13490684
2017,Idaho,28078.99,16203.9,57.70827227
2017,Illinois,259560.1,128893.43,49.65841437
2017,Indiana,144997.31,60161.63,41.49154905
2017,Iowa,73494.6,35808.04,48.72200134
2017,Kansas,68846.5,36193.25,52.57093679
2017,Kentucky,97693.6,42028.74,43.02097579
2017,Louisiana,97152.33,48408.12,49.82702937
2017,Maine,35606.9,14750.1,41.4248362
2017,Maryland,117749.64,59703.26,50.70356054
2017,Massachusetts,130732,72413.04,55.39044763
2017,Michigan,181556.02,83597.16,46.04482958
2017,Minnesota,118632.49,56714.54,47.80692035
2017,Mississippi,67582.96,31924.48,47.23746933
2017,Missouri,124665.94,67926.23,54.48659834
2017,Montana,21233.32,10555.18,49.71045508
2017,Nebraska,47979.08,23610.86,49.21073935
2017,Nevada,35878.12,23704.67,66.06998917
2017,New Hampshire,31622.2,14759.6,46.67480441
2017,New Jersey,237560.71,115728.83,48.71547572
2017,New Mexico,36506.27,21331.02,58.43111334
2017,New York,386801.26,209151.31,54.07203431
2017,North Carolina,193031.38,100219.61,51.91881755
2017,North Dakota,18412.31,9265.3,50.32122531
2017,Ohio,325387.15,102600.18,31.53172459
2017,Oklahoma,84114.66,41089.67,48.84959411
2017,Oregon,68088.74,29755.96,43.70173394
2017,Pennsylvania,247298.68,122551.85,49.55620871
2017,Rhode Island,20233.14,10688.74,52.82788534
2017,South Carolina,87313.75,50789.4,58.16884511
2017,South Dakota,19732.3,9777.16,49.54901355
2017,Tennessee,128322.7,64270.3,50.08490314
2017,Texas,707172.5,352808.91,49.89007774
2017,Utah,59324.58,28841.23,48.61598683
2017,Vermont,18048.34,8186.57,45.35912998
2017,Virginia,180091.15,91627.58,50.87844683
2017,Washington,94685.15,58815.27,62.11667828
2017,West Virginia,36884.91,19356.2,52.47728678
2017,Wisconsin,113144.83,59010.89,52.15518022
2017,Wyoming,16932.91,7505.65,44.32581287
2018,United States,6544766.68,3169749.7,48.43182125
2018,Alabama,91778.29,41802.18,45.54691529
2018,Alaska,17153.93,7742.85,45.13746996
2018,Arizona,103508.24,47867.58,46.24518782
2018,Arkansas,73587.3,35799.86,48.64950881
2018,California,604248.15,271523.05,44.93568578
2018,Colorado,113320.29,52373.47,46.21720435
2018,Connecticut,97989.01,45081.41,46.00659809
2018,Delaware,18397.76,9398.68,51.08600177
2018,District of Columbia,14170.93,6659.32,46.99282263
2018,Florida,352745.8,186128.02,52.76548155
2018,Georgia,231643.7,116021.7,50.08627474
2018,Hawaii,23140.63,12033.47,52.00147965
2018,Idaho,28859.59,16591.97,57.4920503
